ID;coluna;Estimate;Std. Error;Pr(>|t|);APC;IC;
63;Pinheiros;-0,023692319;0,005662118;0,000918053;-2,341385918;( -1.25  /  -3.42 );
64;Pirituba;-0,015574903;0,005359665;0,011506015;-1,545424165;( -0.51  /  -2.57 );
65;Ponte.Rasa;-0,00853238;0,006902106;0,236723879;-0,849608234;(  0.50  /  -2.18 );
66;Raposo.Tavares;-0,01770421;0,003508668;0,000178684;-1,754841148;( -1.08  /  -2.43 );
67;República;-0,015640951;0,007711053;0,061989016;-1,551926679;( -0.05  /  -3.03 );
68;Rio.Pequeno;-0,013124872;0,007636234;0,10768086;-1,303911677;(  0.18  /  -2.77 );
69;Sacomã;-0,029032485;0,003703915;1,74E-06;-2,861509117;( -2.15  /  -3.56 );
70;Santa.Cecília;-0,019099403;0,006025792;0,006820518;-1,89181651;( -0.73  /  -3.04 );
71;Santana;-0,012735927;0,004362001;0,011196422;-1,265516789;( -0.42  /  -2.11 );
72;Santo.Amaro;-0,039764526;0,006435635;2,40E-05;-3,898429372;( -2.68  /  -5.10 );
73;São.Domingos;-0,021303088;0,00689482;0,007993888;-2,107778045;( -0.78  /  -3.42 );
74;São.Lucas;-0,017185582;0,008753024;0,069780613;-1,703875203;(  0.00  /  -3.38 );
75;São.Mateus;-0,021074942;0,006283012;0,004723629;-2,085441724;( -0.87  /  -3.28 );
76;São.Miguel;-0,018161728;0,005809916;0,007438265;-1,799779813;( -0.68  /  -2.91 );
77;São.Rafael;-0,016817732;0,011186644;0,154962042;-1,667710388;(  0.51  /  -3.80 );
78;Sapopemba;-0,020416128;0,00866393;0,033548236;-2,02091304;( -0.34  /  -3.67 );
79;Saúde;-0,022476658;0,004640876;0,000260563;-2,222594007;( -1.33  /  -3.11 );
80;Sé;-0,031560901;0,008765692;0,00289559;-3,106805404;( -1.43  /  -4.76 );
81;Socorro..distrito.da.capital.;-0,017225559;0,003687526;0,000360236;-1,707804679;( -0.99  /  -2.42 );
82;Tatuapé;-0,016179697;0,004973136;0,005773293;-1,604950916;( -0.64  /  -2.56 );
83;Tremembé..distrito.da.capital.;-0,01755342;0,002545085;7,36E-06;-1,740025588;( -1.25  /  -2.23 );
84;Tucuruvi;-0,024243341;0,00494232;0,000232009;-2,395183217;( -1.45  /  -3.34 );
85;Vila.Andrade;-0,019020784;0,00854089;0,042868949;-1,884103027;( -0.23  /  -3.51 );
86;Vila.Curuçá;-0,016663646;0,010067713;0,120128159;-1,652557551;(  0.31  /  -3.57 );
87;Vila.Formosa;-0,020713259;0,005787008;0,003020219;-2,050021279;( -0.93  /  -3.15 );
88;Vila.Guilherme;-0,022953133;0,007181094;0,006467598;-2,269171347;( -0.88  /  -3.64 );
89;Vila.Jacuí;-0,011360648;0,011004992;0,319427921;-1,12963592;(  1.03  /  -3.24 );
90;Vila.Leopoldina;-0,023487337;0,013084879;0,094266229;-2,321365626;(  0.22  /  -4.79 );
91;Vila.Maria;-0,014494615;0,006227596;0,035451152;-1,439007387;( -0.23  /  -2.63 );
92;Vila.Mariana;-0,009998257;0,005280811;0,079170553;-0,994844029;(  0.04  /  -2.01 );
93;Vila.Matilde;-0,0168813;0,003278203;0,000147614;-1,673960916;( -1.04  /  -2.30 );
94;Vila.Medeiros;-0,021359197;0,008565568;0,025782862;-2,113270462;( -0.46  /  -3.74 );
95;Vila.Prudente;-0,019894541;0,006941788;0,012452816;-1,969795069;( -0.63  /  -3.29 );
96;Vila.Sônia;-0,018658746;0,003209246;4,49E-05;-1,848574912;( -1.23  /  -2.46 );
